clarity,color,Sum of price,Sum of depth
I1,D,162247,2605.9
I1,E,355819,6299.099999999998
I1,F,477932,8958.999999999998
I1,G,531854,9436.199999999999
I1,H,721453,10186.300000000001
I1,I,395801,5806.600000000001
I1,J,262703,3192.9999999999995
IF,D,606438,4477.599999999998
IF,E,579624,9705.000000000002
IF,F,1059072,23647.600000000006
IF,G,1742021,41907.700000000004
IF,H,684073,18405.399999999994
IF,I,285276,8808.400000000001
IF,J,171558,3152.2999999999993
SI1,D,6199313,128780.89999999997
SI1,E,7670619,150034.09999999992
SI1,F,7915015,131729.70000000027
SI1,G,7458980,122293.70000000013
SI1,H,11448744,140751.3999999999
SI1,I,7625548,88152.59999999987
SI1,J,3889536,46367.60000000002
SI2,D,5385609,84529.7000000002
SI2,E,7149764,105592.0999999999
SI2,F,7196454,99333.49999999999
SI2,G,7773567,95742.70000000001
SI2,H,9534136,96662.40000000002
SI2,I,6386416,56436.100000000006
SI2,J,3123539,29636.800000000007
VS1,D,2136262,43373.40000000003
VS1,E,3658913,78787.19999999998
VS1,F,5178723,83901.99999999996
VS1,G,8874166,132558.49999999997
VS1,H,4419625,72242.00000000007
VS1,I,4457123,59460.09999999999
VS1,J,2647378,33561.59999999996
VS2,D,4390522,104724.20000000006
VS2,E,6794826,152328
VS2,F,8268706,135873.59999999998
VS2,G,10364954,144859.60000000006
VS2,H,7758927,101538.99999999996
VS2,I,6652201,72105.49999999999
VS2,J,3882384,45188.00000000003
VVS1,D,742874,15527.199999999992
VVS1,E,1456202,40346.900000000074
VVS1,F,2058339,45200.20000000008
VVS1,G,2863954,61494.90000000005
VVS1,H,1079710,36113.49999999999
VVS1,I,722376,21976.700000000008
VVS1,J,298529,4578.700000000001
VVS2,D,1853174,33985.900000000016
VVS2,E,2477177,61011.09999999999
VVS2,F,3388625,60044.099999999955
VVS2,G,5548744,89067.99999999993
VVS2,H,1610633,37593.20000000002
VVS2,I,1083405,22585.100000000024
VVS2,J,673654,8101.300000000001
